x,y,z,E,C,R,A,Memoire
0,0,0,0.98,0,0.780566,20,0.999
3,0,0,0.98,0,0.10812,20,1
4,0,0,0.98,0,0.221643,20,1
7,0,0,0.98,0,0.436914,20,1
8,0,0,0.98,0,0.306769,20,0.999
9,0,0,0.98,0,0.628156,20,1
12,0,0,0.98,0,0.314169,20,1
13,0,0,0.98,0,0.61941,20,0.999
15,0,0,0.98,0,0.41057,20,1
0,1,0,0.98,0,0.201342,20,1
1,1,0,0.98,0,0.844347,20,1
2,1,0,0.98,0,0.460114,20,1
3,1,0,0.98,0,0.833773,20,0.999
4,1,0,0.98,0,0.343449,20,1
5,1,0,0.98,0,0.631729,20,1
6,1,0,0.98,0,0.321132,20,1
7,1,0,0.98,0,0.125825,20,1
8,1,0,0.98,0,0.301689,20,1
9,1,0,0.98,0,0.168914,20,1
10,1,0,0.98,0,0.587764,20,1
11,1,0,0.98,0,0.635635,20,1
12,1,0,0.98,0,0.37828,20,1
13,1,0,0.98,0,0.217688,20,1
14,1,0,0.98,0,0.435636,20,1
0,2,0,0.98,0,0.704321,20,1
3,2,0,0.98,0,0.644055,20,0.998
4,2,0,0.98,0,0.206147,20,1
7,2,0,0.98,0,0.736194,20,1
9,2,0,0.98,0,0.842355,20,1
11,2,0,0.98,0,0.545162,20,1
12,2,0,0.98,0,0.326011,20,1
13,2,0,0.98,0,0.295161,20,0.999
15,2,0,0.98,0,0.793907,20,1
0,3,0,0.98,0,0.267773,20,0.999
1,3,0,0.98,0,0.504926,20,1
2,3,0,0.98,0,0.673778,20,0.997
3,3,0,0.98,0,0.663467,20,1
4,3,0,0.98,0,0.213099,20,1
5,3,0,0.98,0,0.152141,20,1
6,3,0,0.98,0,0.367449,20,1
7,3,0,0.98,0,0.218472,20,0.999
8,3,0,0.98,0,0.764278,20,1
10,3,0,0.98,0,0.751885,20,0.999
11,3,0,0.98,0,0.408625,20,0.999
12,3,0,0.98,0,0.23713,20,1
14,3,0,0.98,0,0.525685,20,0.996
1,4,0,0.98,0,0.816678,20,0.999
2,4,0,0.98,0,0.525221,20,1
5,4,0,0.98,0,0.47507,20,0.999
6,4,0,0.98,0,0.126664,20,1
8,4,0,0.98,0,0.276762,20,1
9,4,0,0.98,0,0.462932,20,1
11,4,0,0.98,0,0.409742,20,1
12,4,0,0.98,0,0.348096,20,1
14,4,0,0.98,0,0.748931,20,1
0,5,0,0.98,0,0.327716,20,1
1,5,0,0.98,0,0.216704,20,1
2,5,0,0.98,0,0.539317,20,0.999
3,5,0,0.98,0,0.458064,20,1
4,5,0,0.98,0,0.114108,20,1
5,5,0,0.98,0,0.890712,20,1
6,5,0,0.98,0,0.514754,20,1
7,5,0,0.98,0,0.83487,20,1
8,5,0,0.98,0,0.415752,20,1
9,5,0,0.98,0,0.196021,20,1
10,5,0,0.98,0,0.523402,20,0.999
11,5,0,0.98,0,0.802889,20,1
13,5,0,0.98,0,0.508938,20,1
0,6,0,0.98,0,0.127082,20,1
3,6,0,0.98,0,0.789974,20,1
4,6,0,0.98,0,0.465909,20,1
7,6,0,0.98,0,0.135427,20,1
8,6,0,0.98,0,0.865739,20,0.995
11,6,0,0.98,0,0.333393,20,1
0,7,0,0.98,0,0.313986,20,1
1,7,0,0.98,0,0.181998,20,0.999
2,7,0,0.98,0,0.402628,20,1
3,7,0,0.98,0,0.433956,20,1
4,7,0,0.98,0,0.121432,20,1
5,7,0,0.98,0,0.597715,20,1
6,7,0,0.98,0,0.410089,20,1
7,7,0,0.98,0,0.465772,20,1
8,7,0,0.98,0,0.375363,20,0.999
9,7,0,0.98,0,0.449209,20,0.999
10,7,0,0.98,0,0.305958,20,1
1,8,0,0.98,0,0.445937,20,1
2,8,0,0.98,0,0.575854,20,1
5,8,0,0.98,0,0.752951,20,1
8,8,0,0.98,0,0.598786,20,1
0,9,0,0.98,0,0.421712,20,0.999
1,9,0,0.98,0,0.72687,20,1
2,9,0,0.98,0,0.820111,20,0.999
3,9,0,0.98,0,0.804527,20,1
4,9,0,0.98,0,0.338281,20,0.999
5,9,0,0.98,0,0.703015,20,0.999
6,9,0,0.98,0,0.397972,20,1
0,10,0,0.98,0,0.531377,20,1
3,10,0,0.98,0,0.460683,20,0.999
0,0,1,0.98,0,0.110151,20,1
1,0,1,0.98,0,0.555757,20,1
2,0,1,0.98,0,0.381785,20,1
3,0,1,0.98,0,0.634518,20,1
4,0,1,0.98,0,0.831871,20,1
5,0,1,0.98,0,0.670255,20,1
6,0,1,0.98,0,0.16018,20,0.999
7,0,1,0.98,0,0.88534,20,1
8,0,1,0.98,0,0.853745,20,1
9,0,1,0.98,0,0.792205,20,1
10,0,1,0.98,0,0.281827,20,1
11,0,1,0.98,0,0.265689,20,0.999
12,0,1,0.98,0,0.140417,20,0.999
13,0,1,0.98,0,0.134538,20,0.999
