x,y,z,E,C,R,A,Memoire
1,0,0,0.97,0,0.848478,30,1
2,0,0,0.97,0,0.171584,30,0.999
3,0,0,0.97,0,0.376431,30,0.998
6,0,0,0.97,0,0.273191,30,1
7,0,0,0.97,0,0.704598,30,1
10,0,0,0.97,0,0.374917,30,1
11,0,0,0.97,0,0.136186,30,0.997
15,0,0,0.97,0,0.899131,30,1
0,1,0,0.97,0,0.151476,30,1
1,1,0,0.97,0,0.146438,30,0.999
2,1,0,0.97,0,0.885121,30,1
4,1,0,0.97,0,0.111389,30,0.998
5,1,0,0.97,0,0.707069,30,0.999
6,1,0,0.97,0,0.374988,30,1
7,1,0,0.97,0,0.833055,30,0.997
8,1,0,0.97,0,0.182163,30,1
9,1,0,0.97,0,0.201781,30,1
10,1,0,0.97,0,0.829498,30,1
11,1,0,0.97,0,0.227253,30,0.999
12,1,0,0.97,0,0.874152,30,1
13,1,0,0.97,0,0.77974,30,1
14,1,0,0.97,0,0.51846,30,0.999
15,1,0,0.97,0,0.330571,30,1
1,2,0,0.97,0,0.846435,30,1
2,2,0,0.97,0,0.772399,30,1
5,2,0,0.97,0,0.732898,30,1
6,2,0,0.97,0,0.892176,30,1
9,2,0,0.97,0,0.54198,30,1
10,2,0,0.97,0,0.386353,30,0.997
13,2,0,0.97,0,0.803551,30,0.999
14,2,0,0.97,0,0.830332,30,0.997
0,3,0,0.97,0,0.257207,30,1
1,3,0,0.97,0,0.412004,30,1
2,3,0,0.97,0,0.81898,30,0.999
3,3,0,0.97,0,0.166898,30,1
4,3,0,0.97,0,0.626068,30,1
5,3,0,0.97,0,0.638899,30,1
6,3,0,0.97,0,0.374931,30,1
7,3,0,0.97,0,0.498893,30,0.999
8,3,0,0.97,0,0.668368,30,0.998
9,3,0,0.97,0,0.134608,30,0.999
10,3,0,0.97,0,0.377335,30,1
11,3,0,0.97,0,0.895033,30,0.999
12,3,0,0.97,0,0.591934,30,0.997
13,3,0,0.97,0,0.524039,30,0.999
0,4,0,0.97,0,0.732556,30,1
1,4,0,0.97,0,0.109183,30,1
2,4,0,0.97,0,0.172646,30,1
3,4,0,0.97,0,0.726998,30,1
6,4,0,0.97,0,0.58954,30,1
7,4,0,0.97,0,0.396722,30,1
10,4,0,0.97,0,0.851085,30,1
11,4,0,0.97,0,0.316294,30,0.995
1,5,0,0.97,0,0.78977,30,1
2,5,0,0.97,0,0.58873,30,1
3,5,0,0.97,0,0.444358,30,1
4,5,0,0.97,0,0.565869,30,0.999
5,5,0,0.97,0,0.705189,30,1
6,5,0,0.97,0,0.257018,30,0.999
7,5,0,0.97,0,0.272209,30,1
8,5,0,0.97,0,0.107599,30,1
9,5,0,0.97,0,0.831147,30,0.999
10,5,0,0.97,0,0.368612,30,1
2,6,0,0.97,0,0.749811,30,0.999
3,6,0,0.97,0,0.697812,30,1
4,6,0,0.97,0,0.775769,30,0.999
7,6,0,0.97,0,0.179429,30,0.999
8,6,0,0.97,0,0.174181,30,0.995
0,7,0,0.97,0,0.602492,30,0.998
1,7,0,0.97,0,0.528245,30,1
3,7,0,0.97,0,0.132348,30,0.995
4,7,0,0.97,0,0.62737,30,1
5,7,0,0.97,0,0.207311,30,1
6,7,0,0.97,0,0.457122,30,1
7,7,0,0.97,0,0.78236,30,1
8,7,0,0.97,0,0.199239,30,1
0,8,0,0.97,0,0.23476,30,1
1,8,0,0.97,0,0.800554,30,0.999
2,8,0,0.97,0,0.40629,30,1
4,8,0,0.97,0,0.694806,30,0.999
5,8,0,0.97,0,0.84487,30,0.993
1,9,0,0.97,0,0.203696,30,0.999
3,9,0,0.97,0,0.194823,30,1
4,9,0,0.97,0,0.351612,30,1
5,9,0,0.97,0,0.659976,30,1
1,10,0,0.97,0,0.127727,30,0.999
2,10,0,0.97,0,0.582686,30,1
3,10,0,0.97,0,0.728665,30,1
0,11,0,0.97,0,0.849146,30,1
0,0,1,0.97,0,0.750981,30,1
1,0,1,0.97,0,0.502099,30,1
2,0,1,0.97,0,0.559277,30,0.999
3,0,1,0.97,0,0.851401,30,0.999
4,0,1,0.97,0,0.137202,30,0.998
5,0,1,0.97,0,0.168021,30,1
6,0,1,0.97,0,0.659435,30,1
7,0,1,0.97,0,0.60489,30,1
8,0,1,0.97,0,0.329923,30,1
9,0,1,0.97,0,0.118456,30,1
10,0,1,0.97,0,0.53868,30,1
11,0,1,0.97,0,0.468347,30,0.999
12,0,1,0.97,0,0.552041,30,1
13,0,1,0.97,0,0.807755,30,0.998
14,0,1,0.97,0,0.309454,30,0.999
15,0,1,0.97,0,0.152915,30,0.999
0,1,1,0.97,0,0.729929,30,1
1,1,1,0.97,0,0.344087,30,1
2,1,1,0.97,0,0.281833,30,1
3,1,1,0.97,0,0.309279,30,1
4,1,1,0.97,0,0.330147,30,0.997
5,1,1,0.97,0,0.377457,30,1
6,1,1,0.97,0,0.639517,30,0.999
7,1,1,0.97,0,0.65082,30,1
8,1,1,0.97,0,0.895799,30,1
9,1,1,0.97,0,0.421452,30,1
10,1,1,0.97,0,0.239032,30,0.999
11,1,1,0.97,0,0.296966,30,1
12,1,1,0.97,0,0.120426,30,1
13,1,1,0.97,0,0.535441,30,1
0,2,1,0.97,0,0.822835,30,1
1,2,1,0.97,0,0.362674,30,0.999
2,2,1,0.97,0,0.885404,30,0.999
3,2,1,0.97,0,0.63872,30,0.997
4,2,1,0.97,0,0.626304,30,0.999
5,2,1,0.97,0,0.622154,30,1
6,2,1,0.97,0,0.768595,30,1
7,2,1,0.97,0,0.542638,30,1
8,2,1,0.97,0,0.559425,30,0.995
9,2,1,0.97,0,0.487493,30,1
10,2,1,0.97,0,0.57903,30,0.992
11,2,1,0.97,0,0.106903,30,1
12,2,1,0.97,0,0.440882,30,1
0,3,1,0.97,0,0.105953,30,1
1,3,1,0.97,0,0.614393,30,1
2,3,1,0.97,0,0.367088,30,1
3,3,1,0.97,0,0.812129,30,0.999
4,3,1,0.97,0,0.650624,30,1
5,3,1,0.97,0,0.26789,30,0.999
6,3,1,0.97,0,0.161346,30,1
7,3,1,0.97,0,0.650796,30,0.999
8,3,1,0.97,0,0.475685,30,0.996
9,3,1,0.97,0,0.778317,30,0.999
10,3,1,0.97,0,0.894455,30,1
0,4,1,0.97,0,0.882648,30,1
1,4,1,0.97,0,0.105469,30,0.999
2,4,1,0.97,0,0.821099,30,1
3,4,1,0.97,0,0.835916,30,1
4,4,1,0.97,0,0.665514,30,1
5,4,1,0.97,0,0.611814,30,1
6,4,1,0.97,0,0.500022,30,0.999
7,4,1,0.97,0,0.460858,30,1
8,4,1,0.97,0,0.513358,30,1
9,4,1,0.97,0,0.872962,30,0.999
0,5,1,0.97,0,0.726388,30,1
1,5,1,0.97,0,0.675509,30,1
2,5,1,0.97,0,0.633236,30,0.999
3,5,1,0.97,0,0.790907,30,1
4,5,1,0.97,0,0.585482,30,1
5,5,1,0.97,0,0.656162,30,1
6,5,1,0.97,0,0.496087,30,1
7,5,1,0.97,0,0.279901,30,0.999
0,6,1,0.97,0,0.123714,30,1
1,6,1,0.97,0,0.408709,30,1
2,6,1,0.97,0,0.33831,30,0.999
3,6,1,0.97,0,0.582371,30,1
4,6,1,0.97,0,0.871031,30,1
5,6,1,0.97,0,0.140835,30,0.999
6,6,1,0.97,0,0.310569,30,1
0,7,1,0.97,0,0.496353,30,1
1,7,1,0.97,0,0.601144,30,0.999
2,7,1,0.97,0,0.73858,30,0.999
3,7,1,0.97,0,0.153512,30,0.999
4,7,1,0.97,0,0.137253,30,0.999
5,7,1,0.97,0,0.278346,30,1
0,8,1,0.97,0,0.168161,30,1
1,8,1,0.97,0,0.443668,30,1
3,8,1,0.97,0,0.748156,30,1
4,8,1,0.97,0,0.301147,30,1
0,9,1,0.97,0,0.189032,30,1
1,9,1,0.97,0,0.545816,30,0.996
2,9,1,0.97,0,0.104505,30,1
3,9,1,0.97,0,0.319249,30,0.999
4,9,1,0.97,0,0.649246,30,1
0,10,1,0.97,0,0.381026,30,1
1,10,1,0.97,0,0.481632,30,1
2,10,1,0.97,0,0.612611,30,1
1,11,1,0.97,0,0.310088,30,0.999
0,0,2,0.97,0,0.327246,30,1
3,0,2,0.97,0,0.722867,30,0.996
4,0,2,0.97,0,0.112752,30,0.993
7,0,2,0.97,0,0.316343,30,0.999
8,0,2,0.97,0,0.346842,30,1
12,0,2,0.97,0,0.566659,30,1
0,1,2,0.97,0,0.441208,30,0.999
1,1,2,0.97,0,0.553222,30,0.999
2,1,2,0.97,0,0.860504,30,1
3,1,2,0.97,0,0.848782,30,1
4,1,2,0.97,0,0.482112,30,1
5,1,2,0.97,0,0.48161,30,1
6,1,2,0.97,0,0.777217,30,0.999
7,1,2,0.97,0,0.394537,30,0.999
8,1,2,0.97,0,0.522271,30,1
9,1,2,0.97,0,0.597538,30,1
10,1,2,0.97,0,0.403908,30,1
11,1,2,0.97,0,0.441678,30,0.999
0,2,2,0.97,0,0.368391,30,0.999
3,2,2,0.97,0,0.66584,30,1
4,2,2,0.97,0,0.358906,30,1
7,2,2,0.97,0,0.35499,30,1
8,2,2,0.97,0,0.457408,30,0.999
0,3,2,0.97,0,0.574216,30,0.999
2,3,2,0.97,0,0.492985,30,0.998
3,3,2,0.97,0,0.326757,30,1
4,3,2,0.97,0,0.241084,30,1
5,3,2,0.97,0,0.305054,30,1
6,3,2,0.97,0,0.557203,30,0.999
7,3,2,0.97,0,0.756743,30,1
1,4,2,0.97,0,0.503019,30,1
2,4,2,0.97,0,0.633901,30,0.999
3,4,2,0.97,0,0.76844,30,1
6,4,2,0.97,0,0.554098,30,1
0,5,2,0.97,0,0.151043,30,1
1,5,2,0.97,0,0.6194,30,1
2,5,2,0.97,0,0.502923,30,0.999
3,5,2,0.97,0,0.292183,30,0.999
4,5,2,0.97,0,0.793975,30,1
0,6,2,0.97,0,0.209071,30,1
1,6,2,0.97,0,0.100469,30,1
3,6,2,0.97,0,0.232067,30,0.999
1,7,2,0.97,0,0.658173,30,1
2,7,2,0.97,0,0.632611,30,1
0,8,2,0.97,0,0.460834,30,1
1,8,2,0.97,0,0.147516,30,1
0,0,3,0.97,0,0.267357,30,1
1,0,3,0.97,0,0.847501,30,1
2,0,3,0.97,0,0.546612,30,1
3,0,3,0.97,0,0.822662,30,0.999
4,0,3,0.97,0,0.752636,30,1
5,0,3,0.97,0,0.659603,30,1
6,0,3,0.97,0,0.518561,30,0.994
7,0,3,0.97,0,0.668899,30,1
8,0,3,0.97,0,0.279741,30,1
9,0,3,0.97,0,0.46447,30,1
10,0,3,0.97,0,0.580828,30,1
11,0,3,0.97,0,0.813641,30,1
12,0,3,0.97,0,0.330227,30,1
0,1,3,0.97,0,0.506257,30,1
1,1,3,0.97,0,0.736501,30,1
2,1,3,0.97,0,0.452011,30,0.999
3,1,3,0.97,0,0.824618,30,1
4,1,3,0.97,0,0.652983,30,1
5,1,3,0.97,0,0.248862,30,1
6,1,3,0.97,0,0.528792,30,0.999
7,1,3,0.97,0,0.267029,30,0.997
8,1,3,0.97,0,0.473267,30,1
9,1,3,0.97,0,0.701119,30,0.999
10,1,3,0.97,0,0.516215,30,1
11,1,3,0.97,0,0.546526,30,0.999
0,2,3,0.97,0,0.226324,30,0.999
1,2,3,0.97,0,0.379458,30,0.999
2,2,3,0.97,0,0.657764,30,1
3,2,3,0.97,0,0.651685,30,0.999
4,2,3,0.97,0,0.377613,30,1
5,2,3,0.97,0,0.607265,30,1
6,2,3,0.97,0,0.763152,30,1
7,2,3,0.97,0,0.572794,30,0.999
8,2,3,0.97,0,0.724893,30,1
9,2,3,0.97,0,0.260898,30,1
0,3,3,0.97,0,0.458539,30,1
1,3,3,0.97,0,0.515162,30,1
2,3,3,0.97,0,0.519689,30,1
3,3,3,0.97,0,0.732908,30,1
4,3,3,0.97,0,0.264264,30,1
5,3,3,0.97,0,0.200553,30,1
6,3,3,0.97,0,0.810791,30,1
7,3,3,0.97,0,0.645553,30,1
0,4,3,0.97,0,0.500297,30,1
1,4,3,0.97,0,0.567039,30,1
2,4,3,0.97,0,0.64503,30,1
3,4,3,0.97,0,0.793004,30,1
4,4,3,0.97,0,0.612708,30,1
5,4,3,0.97,0,0.470483,30,0.998
