x,y,z,E,C,R,A,Memoire
1,0,0,0.950001,0,0.848478,50,1
2,0,0,0.950001,0,0.171584,50,0.999
3,0,0,0.950001,0,0.376431,50,0.998
6,0,0,0.950001,0,0.273191,50,1
7,0,0,0.950001,0,0.704598,50,1
10,0,0,0.950001,0,0.374917,50,1
11,0,0,0.950001,0,0.136186,50,0.997
15,0,0,0.950001,0,0.899131,50,1
0,1,0,0.950001,0,0.151476,50,1
1,1,0,0.950001,0,0.146438,50,0.999
2,1,0,0.950001,0,0.885121,50,1
4,1,0,0.950001,0,0.111389,50,0.998
5,1,0,0.950001,0,0.707069,50,0.999
6,1,0,0.950001,0,0.374988,50,1
7,1,0,0.950001,0,0.833055,50,0.997
8,1,0,0.950001,0,0.182163,50,1
9,1,0,0.950001,0,0.201781,50,1
10,1,0,0.950001,0,0.829498,50,1
11,1,0,0.950001,0,0.227253,50,0.999
12,1,0,0.950001,0,0.874152,50,1
13,1,0,0.950001,0,0.77974,50,1
14,1,0,0.950001,0,0.51846,50,0.999
15,1,0,0.950001,0,0.330571,50,1
1,2,0,0.950001,0,0.846435,50,1
2,2,0,0.950001,0,0.772399,50,1
5,2,0,0.950001,0,0.732898,50,1
6,2,0,0.950001,0,0.892176,50,1
9,2,0,0.950001,0,0.54198,50,1
10,2,0,0.950001,0,0.386353,50,0.997
13,2,0,0.950001,0,0.803551,50,0.999
14,2,0,0.950001,0,0.830332,50,0.997
0,3,0,0.950001,0,0.257207,50,1
1,3,0,0.950001,0,0.412004,50,1
2,3,0,0.950001,0,0.81898,50,0.999
3,3,0,0.950001,0,0.166898,50,1
4,3,0,0.950001,0,0.626068,50,1
5,3,0,0.950001,0,0.638899,50,1
6,3,0,0.950001,0,0.374931,50,1
7,3,0,0.950001,0,0.498893,50,0.999
8,3,0,0.950001,0,0.668368,50,0.998
9,3,0,0.950001,0,0.134608,50,0.999
10,3,0,0.950001,0,0.377335,50,1
11,3,0,0.950001,0,0.895033,50,0.999
12,3,0,0.950001,0,0.591934,50,0.997
13,3,0,0.950001,0,0.524039,50,0.999
0,4,0,0.950001,0,0.732556,50,1
1,4,0,0.950001,0,0.109183,50,1
2,4,0,0.950001,0,0.172646,50,1
3,4,0,0.950001,0,0.726998,50,1
6,4,0,0.950001,0,0.58954,50,1
7,4,0,0.950001,0,0.396722,50,1
10,4,0,0.950001,0,0.851085,50,1
11,4,0,0.950001,0,0.316294,50,0.995
1,5,0,0.950001,0,0.78977,50,1
2,5,0,0.950001,0,0.58873,50,1
3,5,0,0.950001,0,0.444358,50,1
4,5,0,0.950001,0,0.565869,50,0.999
5,5,0,0.950001,0,0.705189,50,1
6,5,0,0.950001,0,0.257018,50,0.999
7,5,0,0.950001,0,0.272209,50,1
8,5,0,0.950001,0,0.107599,50,1
9,5,0,0.950001,0,0.831147,50,0.999
10,5,0,0.950001,0,0.368612,50,1
2,6,0,0.950001,0,0.749811,50,0.999
3,6,0,0.950001,0,0.697812,50,1
4,6,0,0.950001,0,0.775769,50,0.999
7,6,0,0.950001,0,0.179429,50,0.999
8,6,0,0.950001,0,0.174181,50,0.995
0,7,0,0.950001,0,0.602492,50,0.998
1,7,0,0.950001,0,0.528245,50,1
3,7,0,0.950001,0,0.132348,50,0.995
4,7,0,0.950001,0,0.62737,50,1
